C1,Data,Palettes,Pivot field names,key
C5,#0073aa,P1,Exciting1,aeewmcsb
C5,#0073aa,P2,Positive3,aeewmcsb
C3,#920000,P5,Negative1,ah
C5,#0073aa,P3,Positive3,aeewmcsb
C5,#0073aa,P4,Playful2,aeewmcsb
C4,#845145,P5,Negative1,abeorvgn
C5,#d4d4d4,P5,Negative1,aici
C5,#83b3e3,P3,Disturbing3,aeghdclv
C5,#83b3e3,P4,Disturbing3,aeghdclv
C5,#83b3e3,P5,Calm1,aeghdclv
C5,#83b3e3,P5,Playful3,aeghdclv
C5,#423fa8,P4,Trustworthy2,bcd
C5,#478f8d,P1,Positive3,aeoabft
C5,#478f8d,P2,Exciting1,aeoabft
C1,#d4d4d4,P5,Negative2,aici
C5,#478f8d,P4,Disturbing2,aeoabft
C2,#899390,P5,Negative2,amyedqd
C5,#478f8d,P5,Trustworthy1,aeoabft
C5,#0572cd,P1,Disturbing2,afk
C5,#0572cd,P2,Trustworthy1,afk
C5,#0572cd,P3,Serious2,afk
C5,#0572cd,P4,Positive2,afk
C5,#0572cd,P5,Playful2,afk
C5,#0572cd,P5,Positive3,afk
C5,#9796bb,P2,Disturbing3,abhi
C5,#30355f,P2,Playful2,agtnmib
C1,#f80f19,P5,Disturbing1,amvb
C3,#9796bb,P5,Negative2,abhi
C4,#1b4c79,P5,Negative2,aafes
C5,#69301d,P1,Exciting2,aaznxc
C5,#69301d,P1,Exciting3,aaznxc
C5,#69301d,P1,Playful3,aaznxc
C5,#69301d,P2,Playful3,aaznxc
C5,#69301d,P3,Exciting2,aaznxc
C5,#69301d,P4,Playful3,aaznxc
C5,#69301d,P4,Serious1,aaznxc
C5,#69301d,P5,Exciting3,aaznxc
C5,#69301d,P5,Serious1,aaznxc
C5,#116160,P1,Serious1,aifhj
C5,#116160,P5,Exciting2,aifhj
C5,#116160,P5,Serious2,aifhj
C5,#335671,P3,Serious1,bcde
C5,#335671,P3,Trustworthy2,bcde
C2,#69301d,P5,Disturbing1,aaznxc
C5,#845145,P3,Positive2,abeorvgn
C3,#920000,P5,Disturbing1,ah
C4,#3c3c3c,P5,Disturbing1,aax
C5,#899390,P3,Disturbing2,amyedqd
C5,#920000,P1,Calm2,ah
C5,#a2ccc0,P1,Disturbing3,aiqyr
C5,#a2ccc0,P2,Positive2,aiqyr
C5,#a2ccc0,P4,Exciting2,aiqyr
C5,#a5b34b,P1,Positive2,ajoiowx
C5,#a5b34b,P2,Calm2,ajoiowx
C5,#ff8000,P5,Disturbing1,aijqmq
C5,#a857aa,P2,Playful1,ajuwmntr
C5,#a857aa,P4,Playful1,ajuwmntr
C5,#aad2e0,P1,Calm1,akdzf
C5,#aad2e0,P1,Serious2,akdzf
C5,#aad2e0,P5,Positive2,akdzf
C5,#add9a1,P4,Calm1,akiq
C5,#add9a1,P4,Serious2,akiq
C5,#0073aa,P5,Negative2,aeewmcsb
C5,#c91e11,P4,Exciting1,al
C1,#30355f,P5,Negative3,agtnmib
C5,#d4d4d4,P2,Disturbing2,aici
C5,#d4d4d4,P3,Playful3,aici
C2,#116160,P5,Negative3,aifhj
C5,#ddd8ba,P2,Exciting2,alasg
C5,#ddd8ba,P3,Calm1,alasg
C5,#ddd8ba,P3,Playful2,alasg
